#num_of_iter: 50
#num_of_exper: 20
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.4
#p_1_neighb: 0.0
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.50
#allD: 0.50
#kD: 0.00
#kC: 0.00
#kDC: 0.00
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
#
#iter        av_f_C       std_f_C   av_f_C_corr  std_f_C_corr     av_av_sum    std_av_sum     av_f_allC    std_f_allC     av_f_allD    std_f_allD       av_f_kD      std_f_kD       av_f_kC      std_f_kC      av_f_kDC     std_f_kDC  av_f_strat_ch   std_f_strat_ch       av_f_0D      std_f_0D       av_f_1D      std_f_1D       av_f_2D      std_f_2D       av_f_3D      std_f_3D       av_f_4D      std_f_4D       av_f_5D      std_f_5D       av_f_6D      std_f_6D       av_f_7D      std_f_7D       av_f_8D      std_f_8D       av_f_0C      stC_f_0C       av_f_1C      stC_f_1C       av_f_2C      stC_f_2C       av_f_3C      stC_f_3C       av_f_4C      stC_f_4C       av_f_5C      stC_f_5C       av_f_6C      stC_f_6C       av_f_7C      stC_f_7C       av_f_8C      std_f_8C      av_f_0DC    stDC_f_0DC      av_f_1DC    stDC_f_1DC      av_f_2DC    stDC_f_2DC      av_f_3DC    stDC_f_3DC      av_f_4DC    stDC_f_4DC      av_f_5DC    stDC_f_5DC      av_f_6DC    stDC_f_6DC      av_f_7DC    stDC_f_7DC      av_f_8DC    stDC_f_8DC  
 10          0.1631        0.0167        0.0605        0.0071       -0.2372        0.0689         0.013        0.0062         0.987        0.0062           0.0           0.0           0.0           0.0           0.0           0.0        0.7346         0.0146           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 11          0.1706        0.0197        0.0573        0.0068       -0.2126        0.0666        0.0097        0.0039        0.9903        0.0039           0.0           0.0           0.0           0.0           0.0           0.0        0.7104         0.0233           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 12          0.1631        0.0188        0.0517        0.0081       -0.2581        0.0766        0.0078        0.0042        0.9922        0.0042           0.0           0.0           0.0           0.0           0.0           0.0        0.7146         0.0224           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 13          0.1737        0.0181        0.0532        0.0083       -0.2273         0.068        0.0076        0.0048        0.9924        0.0048           0.0           0.0           0.0           0.0           0.0           0.0        0.6932         0.0285           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 14          0.1641        0.0193        0.0503        0.0085       -0.2769        0.0757        0.0065        0.0035        0.9935        0.0035           0.0           0.0           0.0           0.0           0.0           0.0        0.7051         0.0256           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 15           0.175        0.0212        0.0513        0.0085       -0.2358        0.0722        0.0059        0.0032        0.9941        0.0032           0.0           0.0           0.0           0.0           0.0           0.0         0.683         0.0305           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 16          0.1633        0.0188        0.0504        0.0094       -0.2838         0.077        0.0055        0.0029        0.9945        0.0029           0.0           0.0           0.0           0.0           0.0           0.0        0.6966         0.0317           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 17          0.1758        0.0178        0.0468        0.0087       -0.2414        0.0697        0.0053        0.0031        0.9947        0.0031           0.0           0.0           0.0           0.0           0.0           0.0        0.6746         0.0298           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 18          0.1652        0.0179        0.0504        0.0079       -0.2866        0.0692        0.0051         0.003        0.9949         0.003           0.0           0.0           0.0           0.0           0.0           0.0        0.6845         0.0283           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 19          0.1743        0.0195        0.0541        0.0083       -0.2484        0.0759        0.0043        0.0024        0.9957        0.0024           0.0           0.0           0.0           0.0           0.0           0.0        0.6716          0.031           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
