#num_of_iter: 50
#num_of_exper: 20
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.4
#p_1_neighb: 0.0
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.50
#allD: 0.50
#kD: 0.00
#kC: 0.00
#kDC: 0.00
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
#
#iter        av_f_C       std_f_C   av_f_C_corr  std_f_C_corr     av_av_sum    std_av_sum     av_f_allC    std_f_allC     av_f_allD    std_f_allD       av_f_kD      std_f_kD       av_f_kC      std_f_kC      av_f_kDC     std_f_kDC  av_f_strat_ch   std_f_strat_ch       av_f_0D      std_f_0D       av_f_1D      std_f_1D       av_f_2D      std_f_2D       av_f_3D      std_f_3D       av_f_4D      std_f_4D       av_f_5D      std_f_5D       av_f_6D      std_f_6D       av_f_7D      std_f_7D       av_f_8D      std_f_8D       av_f_0C      stC_f_0C       av_f_1C      stC_f_1C       av_f_2C      stC_f_2C       av_f_3C      stC_f_3C       av_f_4C      stC_f_4C       av_f_5C      stC_f_5C       av_f_6C      stC_f_6C       av_f_7C      stC_f_7C       av_f_8C      std_f_8C      av_f_0DC    stDC_f_0DC      av_f_1DC    stDC_f_1DC      av_f_2DC    stDC_f_2DC      av_f_3DC    stDC_f_3DC      av_f_4DC    stDC_f_4DC      av_f_5DC    stDC_f_5DC      av_f_6DC    stDC_f_6DC      av_f_7DC    stDC_f_7DC      av_f_8DC    stDC_f_8DC  
 30          0.1655        0.0239        0.0477          0.01       -0.3013        0.1002        0.0033        0.0021        0.9967        0.0021           0.0           0.0           0.0           0.0           0.0           0.0        0.6704         0.0343           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 31          0.1768        0.0271        0.0485        0.0086       -0.2658        0.0973        0.0031        0.0017        0.9969        0.0017           0.0           0.0           0.0           0.0           0.0           0.0        0.6549         0.0413           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 32          0.1667        0.0256        0.0482        0.0075       -0.2959        0.0983        0.0037        0.0019        0.9963        0.0019           0.0           0.0           0.0           0.0           0.0           0.0        0.6675          0.038           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 33          0.1755        0.0252        0.0492        0.0096       -0.2681        0.0958        0.0048        0.0021        0.9952        0.0021           0.0           0.0           0.0           0.0           0.0           0.0        0.6478         0.0404           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 34          0.1718        0.0254        0.0481        0.0081       -0.2899        0.0914        0.0044        0.0019        0.9956        0.0019           0.0           0.0           0.0           0.0           0.0           0.0        0.6644         0.0402           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 35          0.1736        0.0212        0.0468        0.0088       -0.2701        0.0865        0.0039        0.0019        0.9961        0.0019           0.0           0.0           0.0           0.0           0.0           0.0        0.6554         0.0338           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 36          0.1703        0.0213        0.0469        0.0084       -0.2942        0.0783        0.0036        0.0019        0.9964        0.0019           0.0           0.0           0.0           0.0           0.0           0.0        0.6564         0.0343           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 37          0.1766        0.0227        0.0479        0.0082        -0.269        0.0844        0.0033        0.0013        0.9967        0.0013           0.0           0.0           0.0           0.0           0.0           0.0        0.6556         0.0307           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 38          0.1662        0.0214         0.051        0.0079       -0.2931        0.0878        0.0039        0.0017        0.9961        0.0017           0.0           0.0           0.0           0.0           0.0           0.0        0.6617         0.0368           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 39          0.1729        0.0219        0.0501        0.0076       -0.2635        0.0948        0.0039        0.0016        0.9961        0.0016           0.0           0.0           0.0           0.0           0.0           0.0        0.6576         0.0359           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 40          0.1685        0.0195         0.046        0.0076       -0.3004         0.087        0.0041        0.0019        0.9959        0.0019           0.0           0.0           0.0           0.0           0.0           0.0        0.6617         0.0363           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 41          0.1737        0.0231        0.0484        0.0079       -0.2707        0.0948        0.0044        0.0023        0.9956        0.0023           0.0           0.0           0.0           0.0           0.0           0.0        0.6508         0.0344           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 42          0.1705        0.0236        0.0465        0.0085       -0.2916        0.0957        0.0039        0.0022        0.9961        0.0022           0.0           0.0           0.0           0.0           0.0           0.0        0.6584         0.0387           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 43          0.1745        0.0228        0.0481        0.0075       -0.2697        0.0929        0.0039        0.0023        0.9961        0.0023           0.0           0.0           0.0           0.0           0.0           0.0        0.6521         0.0392           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 44          0.1709         0.025        0.0456        0.0086       -0.2897        0.0872        0.0043        0.0025        0.9957        0.0025           0.0           0.0           0.0           0.0           0.0           0.0         0.659         0.0413           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 45          0.1733        0.0222        0.0483         0.009       -0.2713        0.0878        0.0041        0.0022        0.9959        0.0022           0.0           0.0           0.0           0.0           0.0           0.0         0.653         0.0347           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 46          0.1722        0.0224        0.0456        0.0075        -0.292        0.0866        0.0036        0.0017        0.9964        0.0017           0.0           0.0           0.0           0.0           0.0           0.0        0.6577         0.0384           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 47          0.1739        0.0233        0.0503        0.0092       -0.2639        0.0876        0.0041        0.0017        0.9959        0.0017           0.0           0.0           0.0           0.0           0.0           0.0        0.6519         0.0345           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 48          0.1698         0.025          0.05        0.0098        -0.291        0.0855         0.004        0.0024         0.996        0.0024           0.0           0.0           0.0           0.0           0.0           0.0        0.6636         0.0363           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 49          0.1733        0.0239        0.0496         0.009       -0.2739        0.0905        0.0039         0.002        0.9961         0.002           0.0           0.0           0.0           0.0           0.0           0.0         0.659         0.0353           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 50          0.1689        0.0231        0.0492        0.0082       -0.2896        0.0814        0.0037        0.0016        0.9963        0.0016           0.0           0.0           0.0           0.0           0.0           0.0        0.6567         0.0379           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
