#num_of_iter: 50
#num_of_exper: 20
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.4
#p_1_neighb: 0.0
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.50
#allD: 0.50
#kD: 0.00
#kC: 0.00
#kDC: 0.00
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
# 


#Experiment 1 

#seed: 1976547115
#iter           f_C      f_C_corr        av_sum        f_allC        f_allD          f_kD          f_kC         f_kDC    f_strat_ch          f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C         f_0DC         f_1DC         f_2DC         f_3DC         f_4DC         f_5DC         f_6DC         f_7DC         f_8DC  
 16          0.1926        0.0503       -0.1274        0.0069        0.9931           0.0           0.0           0.0         0.654           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 17          0.1438         0.034       -0.3773        0.0046        0.9954           0.0           0.0           0.0         0.712           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 18          0.2007        0.0414       -0.1894        0.0073        0.9927           0.0           0.0           0.0        0.6509           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 19          0.1488        0.0488       -0.3445        0.0062        0.9938           0.0           0.0           0.0        0.7247           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 20          0.1922        0.0488       -0.1817        0.0054        0.9946           0.0           0.0           0.0        0.6613           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 21          0.1426        0.0399        -0.375        0.0069        0.9931           0.0           0.0           0.0        0.7159           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 22          0.1949        0.0503       -0.1635        0.0054        0.9946           0.0           0.0           0.0        0.6348           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 23          0.1499        0.0547       -0.3523        0.0035        0.9965           0.0           0.0           0.0         0.709           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 24          0.1972        0.0533       -0.2039         0.005         0.995           0.0           0.0           0.0        0.6521           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
 25          0.1507        0.0533       -0.3702        0.0035        0.9965           0.0           0.0           0.0        0.7067           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0           0.0  
