#num_of_iter: 500
#num_of_exper: 1
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.30
#p_1_neighb: 0.10
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
# 


#Experiment 1 

#seed: 944504714
#iter           f_C      f_C_corr        av_sum        f_allC        f_allD          f_kD          f_kC         f_kDC    f_strat_ch          f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C         f_0DC         f_1DC         f_2DC         f_3DC         f_4DC         f_5DC         f_6DC         f_7DC         f_8DC  
 14          0.1676         0.105       -0.2392           0.0        0.6113        0.0854        0.0961        0.2072        0.7593        0.2162        0.1306        0.5541        0.0631           0.0        0.0135           0.0        0.0225           0.0          0.72         0.092          0.16           0.0           0.0          0.02         0.008           0.0           0.0           0.0         0.013           0.0        0.0241        0.0334        0.0612        0.1187        0.5826         0.167  
 15          0.2215        0.0932       -0.1488           0.0        0.6121        0.0815        0.0911        0.2153        0.6993        0.2123        0.1698        0.5755         0.033           0.0           0.0           0.0        0.0094           0.0        0.7595        0.0844        0.1266           0.0           0.0        0.0127        0.0169           0.0           0.0           0.0        0.0125           0.0        0.0214         0.025        0.0429        0.1429        0.5911        0.1643  
 16          0.1569        0.1109        -0.229           0.0        0.6209        0.0823        0.0903        0.2065        0.7586        0.1682         0.257        0.5093        0.0607           0.0           0.0           0.0        0.0047           0.0        0.7872        0.0596        0.0979           0.0           0.0        0.0213         0.034           0.0           0.0           0.0        0.0093           0.0        0.0149        0.0149        0.0186         0.121        0.6462         0.175  
 17          0.2168         0.108       -0.1027           0.0        0.6125        0.0842        0.0911        0.2122        0.7074         0.137        0.2055        0.6027        0.0365           0.0           0.0           0.0        0.0183           0.0        0.8101        0.0506        0.0928           0.0           0.0        0.0295        0.0169           0.0           0.0           0.0        0.0109           0.0        0.0018        0.0072        0.0362        0.1087        0.6793        0.1558  
 18          0.1457         0.105       -0.3043           0.0        0.6151        0.0819        0.0915        0.2115        0.7686        0.1315        0.2488        0.5822        0.0282           0.0           0.0           0.0        0.0094           0.0        0.8445        0.0336         0.084           0.0           0.0         0.021        0.0168           0.0           0.0           0.0        0.0091           0.0           0.0        0.0018        0.0382          0.08        0.7091        0.1618  
 19          0.2138         0.108       -0.0874           0.0        0.6132        0.0811        0.0911        0.2145        0.6901          0.09        0.3033        0.5782        0.0237           0.0           0.0           0.0        0.0047           0.0        0.8101        0.0759        0.0717           0.0           0.0        0.0253        0.0169           0.0           0.0           0.0         0.009           0.0           0.0        0.0018        0.0179        0.0735        0.7616        0.1362  
 20          0.1596        0.1124       -0.2819           0.0        0.6005        0.0861        0.0915        0.2218        0.7501         0.125         0.317        0.5312        0.0223           0.0           0.0           0.0        0.0045           0.0        0.7857        0.1092        0.0966           0.0           0.0        0.0042        0.0042           0.0           0.0           0.0        0.0121           0.0           0.0        0.0035        0.0173        0.0555        0.7487        0.1629  
 21           0.198        0.1198          -0.1           0.0        0.5952        0.0873        0.0907        0.2268        0.6909        0.1013        0.3348        0.4934        0.0529           0.0           0.0           0.0        0.0176           0.0        0.8136        0.1102        0.0593           0.0           0.0        0.0085        0.0085           0.0           0.0           0.0        0.0153           0.0           0.0        0.0136        0.0034        0.0593        0.7864         0.122  
 22           0.163        0.1317        -0.178           0.0        0.5936          0.09        0.0888        0.2276        0.7401        0.1453        0.2692        0.5299        0.0513           0.0           0.0           0.0        0.0043           0.0        0.8528        0.0433        0.0866           0.0           0.0           0.0        0.0173           0.0           0.0           0.0        0.0186           0.0           0.0        0.0084        0.0034        0.0625        0.7736        0.1334  
 23          0.1953        0.1287       -0.0997           0.0         0.574        0.0861        0.0946        0.2453         0.714        0.1205        0.2545        0.5714        0.0491           0.0           0.0           0.0        0.0045           0.0        0.8211        0.0366        0.1138           0.0           0.0           0.0        0.0285           0.0           0.0           0.0        0.0141           0.0           0.0        0.0031           0.0        0.0611        0.7978        0.1238  
