#num_of_iter: 100
#num_of_exper: 11
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 7860987380687698761
#iter         f_C          f_C_corr        av_sum      f_allC      f_allD        f_kD        f_kC        f_kDC       f_strat_ch      f_0D        f_1D        f_2D        f_3D        f_4D        f_5D        f_6D        f_7D        f_8D        f_0C        f_1C        f_2C        f_3C        f_4C        f_5C        f_6C        f_7C        f_8C        f_0DC       f_1DC       f_2DC       f_3DC       f_4DC        f_5DC       f_6DC       f_7DC       f_8DC
15             0.2157        0.1166          0.3058           0.0304      0.5723        0.1866      0.0712      0.1395      1.0             0.6205      0.0625      0.1384      0.0      0.0692      0.0179      0.0312      0.0201       0.0402      0.5965      0.0351      0.0468      0.0585       0.0526      0.1287      0.0      0.0409      0.0409      0.0209      0.0179      0.0269      0.0448      0.0209       0.0179      0.1433      0.2328      0.4746
16             0.2162        0.1212          0.3162           0.0292      0.5685        0.1824      0.0762      0.1437      1.0             0.6164      0.0502      0.1644      0.0      0.0502      0.0274      0.032      0.0183       0.0411      0.6557      0.0164      0.0383      0.0437       0.0492      0.1202      0.0      0.0383      0.0383      0.0203      0.0145      0.0261      0.0116      0.0145       0.0145      0.1507      0.2696      0.4783
17             0.2099        0.127          0.3339           0.025      0.5818        0.182      0.0808      0.1304      1.0             0.6407      0.0549      0.1419      0.0      0.0458      0.0206      0.032      0.0137       0.0503      0.6959      0.0      0.0515      0.0412       0.0412      0.0979      0.0      0.0361      0.0361      0.016      0.0128      0.0288      0.0192      0.0096       0.0128      0.147      0.3387      0.4153
18             0.2112        0.122          0.3122           0.0242      0.5723        0.1816      0.0812      0.1408      1.0             0.6078      0.0619      0.172      0.0      0.0482      0.0206      0.0321      0.0161       0.0413      0.6872      0.0      0.0462      0.041       0.0359      0.1128      0.0      0.041      0.0359      0.0118      0.0118      0.0266      0.0148      0.0059       0.0118      0.145      0.3639      0.4083
19             0.2074        0.1274          0.3321           0.0254      0.5718        0.1674      0.0866      0.1487      1.0             0.6095      0.0597      0.1667      0.0      0.0547      0.0224      0.0274      0.0149       0.0448      0.7163      0.0      0.0385      0.0385       0.0385      0.101      0.0      0.0337      0.0337      0.0112      0.0112      0.0252      0.0112      0.0056       0.0056      0.1261      0.4062      0.3978
20             0.2091        0.1291          0.3308           0.0254      0.5706        0.1749      0.0862      0.1429      1.0             0.6286      0.0571      0.1643      0.0      0.0524      0.0167      0.0286      0.0143       0.0381      0.7585      0.0      0.0338      0.0435       0.029      0.0725      0.0      0.029      0.0338      0.0029      0.0117      0.0262      0.0      0.0058       0.0      0.1312      0.4257      0.3965
21             0.2041        0.1245          0.3208           0.0262      0.5802        0.1499      0.0941      0.1495      1.0             0.6083      0.0444      0.1639      0.0      0.075      0.0167      0.0333      0.0167       0.0417      0.7345      0.0      0.0398      0.0354       0.0265      0.1106      0.0      0.0221      0.031      0.0167      0.0111      0.0251      0.0      0.0056       0.0      0.0975      0.4123      0.4318
22             0.212        0.1279          0.3231           0.0246      0.576        0.1458      0.0995      0.1541      1.0             0.6143      0.0743      0.1714      0.0      0.0429      0.0171      0.0314      0.0171       0.0314      0.7699      0.0      0.0293      0.0335       0.0251      0.0962      0.0      0.0251      0.0209      0.0162      0.0081      0.0243      0.0      0.0054       0.0      0.1108      0.4108      0.4243
23             0.1999        0.1312          0.3256           0.0258      0.5902        0.1387      0.0954      0.1499      1.0             0.6096      0.0781      0.1652      0.0      0.045      0.018      0.033      0.015       0.036      0.7991      0.0      0.0262      0.0218       0.0218      0.083      0.0      0.0262      0.0218      0.0167      0.0056      0.0222      0.0      0.0056       0.0      0.0944      0.425      0.4306
24             0.2066        0.1283          0.3273           0.0262      0.5906        0.1379      0.0933      0.152      1.0             0.5861      0.0514      0.2145      0.0      0.0393      0.0181      0.0302      0.0151       0.0453      0.7946      0.0      0.0223      0.0402       0.0179      0.0804      0.0      0.0268      0.0179      0.0137      0.0055      0.0192      0.0      0.0055       0.0      0.0822      0.4603      0.4137
25             0.2045        0.1358          0.3386           0.0283      0.6081        0.1237      0.0887      0.1512      1.0             0.5623      0.101      0.1953      0.0      0.0337      0.0202      0.0269      0.0202       0.0404      0.8075      0.0      0.0235      0.0282       0.0188      0.0798      0.0      0.0282      0.0141      0.011      0.0055      0.0193      0.0      0.0055       0.0      0.0386      0.4931      0.427
26             0.2012        0.1337          0.3343           0.0246      0.6277        0.1191      0.0829      0.1458      1.0             0.535      0.1224      0.1923      0.0      0.0385      0.021      0.0315      0.0175       0.042      0.8291      0.0      0.0251      0.0302       0.0151      0.0704      0.0      0.0151      0.0151      0.0114      0.0057      0.02      0.0      0.0057       0.0      0.0371      0.5114      0.4086
27             0.1895        0.1362          0.3412           0.0246      0.6235        0.1166      0.087      0.1483      1.0             0.5536      0.1071      0.2036      0.0      0.0179      0.0214      0.0286      0.0179       0.05      0.866      0.0      0.0239      0.0287       0.0048      0.0478      0.0      0.0096      0.0191      0.0084      0.0056      0.0197      0.0      0.0056       0.0      0.0169      0.5646      0.3792
28             0.2007        0.1399          0.3499           0.0262      0.6164        0.1087      0.0858      0.1628      1.0             0.5479      0.1034      0.1916      0.0      0.0268      0.023      0.0345      0.0192       0.0536      0.8544      0.0      0.0243      0.0291       0.0      0.0631      0.0      0.0049      0.0243      0.0102      0.0051      0.0179      0.0      0.0051       0.0      0.0128      0.5934      0.3555
29             0.1908        0.1349          0.3326           0.0242      0.6122        0.1062      0.092      0.1653      1.0             0.5843      0.1098      0.1569      0.0      0.0275      0.0235      0.0314      0.0196       0.0471      0.8778      0.0      0.0181      0.0271       0.0      0.0588      0.0      0.0045      0.0136      0.0101      0.005      0.0176      0.0      0.005       0.0      0.0076      0.6448      0.3098
30             0.202        0.1454          0.3569           0.0242      0.6039        0.0979      0.0929      0.1812      1.0             0.583      0.0936      0.166      0.0      0.0298      0.0255      0.034      0.0213       0.0468      0.8879      0.0      0.0179      0.0269       0.0      0.0493      0.0      0.0045      0.0135      0.0092      0.0046      0.0161      0.0      0.0046       0.0      0.0046      0.6598      0.3011
31             0.2007        0.1454          0.3617           0.0225      0.5985        0.1041      0.0941      0.1808      1.0             0.576      0.1      0.192      0.0      0.02      0.024      0.032      0.02       0.036      0.9027      0.0      0.0265      0.0133       0.0      0.0442      0.0      0.0      0.0133      0.0092      0.0046      0.0161      0.0      0.0046       0.0      0.0023      0.6843      0.2788
32             0.1974        0.1454          0.3583           0.0225      0.6027        0.0979      0.1      0.177      1.0             0.6      0.0936      0.1787      0.0      0.017      0.0255      0.0298      0.0213       0.034      0.9083      0.0      0.0208      0.0292       0.0      0.0292      0.0      0.0      0.0125      0.0094      0.0047      0.0165      0.0      0.0047       0.0      0.0      0.7082      0.2565
33             0.1945        0.1437          0.3629           0.0246      0.5868        0.095      0.1054      0.1883      1.0             0.6535      0.0789      0.1316      0.0      0.0175      0.0263      0.0351      0.0219       0.0351      0.9091      0.0      0.0198      0.0277       0.0      0.0316      0.0      0.0      0.0119      0.0088      0.0044      0.0155      0.0      0.0044       0.0      0.0      0.7102      0.2566
34             0.1995        0.1479          0.3752           0.0237      0.5864        0.095      0.1083      0.1866      1.0             0.6579      0.0395      0.1754      0.0      0.0175      0.0219      0.0307      0.0219       0.0351      0.9308      0.0      0.0192      0.0192       0.0      0.0192      0.0      0.0      0.0115      0.0089      0.0045      0.0156      0.0      0.0045       0.0      0.0      0.7254      0.2411
35             0.1899        0.1391          0.3564           0.0233      0.5881        0.0916      0.1087      0.1883      1.0             0.6273      0.0455      0.2      0.0      0.0182      0.0227      0.0318      0.0227       0.0318      0.9234      0.0      0.0192      0.0192       0.0      0.0268      0.0      0.0      0.0115      0.0088      0.0044      0.0155      0.0      0.0044       0.0      0.0      0.7456      0.2212
36             0.1937        0.1391          0.3616           0.0233      0.5777        0.0891      0.1158      0.1941      1.0             0.6636      0.0467      0.1542      0.0      0.0187      0.0234      0.0374      0.0234       0.0327      0.9209      0.0      0.0288      0.018       0.0      0.0216      0.0      0.0      0.0108      0.0086      0.0043      0.015      0.0      0.0043       0.0      0.0      0.7468      0.221
37             0.1999        0.1479          0.3762           0.0233      0.5685        0.0758      0.1279      0.2045      1.0             0.6209      0.033      0.1813      0.0      0.022      0.0275      0.044      0.0275       0.044      0.9218      0.0      0.0228      0.0163       0.0      0.0293      0.0      0.0      0.0098      0.0081      0.0041      0.0143      0.0      0.0041       0.0      0.0      0.7352      0.2342
38             0.1983        0.1495          0.3812           0.025      0.5589        0.0771      0.1341      0.2049      1.0             0.6486      0.0595      0.1459      0.0      0.0216      0.027      0.0324      0.0216       0.0432      0.9472      0.0      0.0186      0.0093       0.0      0.0155      0.0      0.0      0.0093      0.0081      0.0041      0.0142      0.0      0.0041       0.0      0.0      0.7602      0.2093
39             0.197        0.1454          0.3732           0.0237      0.5681        0.0725      0.1316      0.2041      1.0             0.6264      0.092      0.1149      0.0      0.023      0.0287      0.0402      0.0287       0.046      0.943      0.0      0.0127      0.0095       0.0      0.0253      0.0      0.0      0.0095      0.0082      0.0041      0.0143      0.0      0.0041       0.0      0.0      0.7837      0.1857
40             0.2003        0.1483          0.3808           0.0237      0.5598        0.0658      0.1441      0.2066      1.0             0.6646      0.0886      0.0759      0.0      0.0253      0.0316      0.0316      0.0316       0.0506      0.9566      0.0      0.0116      0.0087       0.0      0.0145      0.0      0.0      0.0087      0.0081      0.004      0.0141      0.0      0.004       0.0      0.0      0.7641      0.2056
41             0.2057        0.1545          0.3984           0.0229      0.5477        0.07      0.1566      0.2028      1.0             0.6369      0.1071      0.0893      0.0      0.0238      0.0298      0.0417      0.0238       0.0476      0.9628      0.0      0.0106      0.008       0.0      0.0106      0.0      0.0      0.008      0.0082      0.0041      0.0144      0.0      0.0041       0.0      0.0      0.7762      0.193
42             0.2007        0.1537          0.3918           0.0229      0.5439        0.0637      0.1595      0.2099      1.0             0.6209      0.1242      0.0784      0.0      0.0261      0.0261      0.0523      0.0196       0.0523      0.9556      0.0      0.0104      0.0026       0.0      0.0235      0.0      0.0      0.0078      0.0079      0.004      0.0139      0.0      0.004       0.0      0.0      0.7659      0.2044
43             0.1974        0.1541          0.3942           0.0208      0.5394        0.0583      0.162      0.2195      1.0             0.7286      0.0714      0.0143      0.0      0.0286      0.0286      0.05      0.0286       0.05      0.9614      0.0      0.0103      0.0       0.0      0.0206      0.0      0.0      0.0077      0.0076      0.0038      0.0133      0.0      0.0038       0.0      0.0      0.778      0.1935
44             0.2066        0.1599          0.4094           0.02      0.5285        0.0558      0.1666      0.2291      1.0             0.709      0.0821      0.0      0.0      0.0299      0.0299      0.0597      0.0373       0.0522      0.96      0.0      0.01      0.0       0.0      0.0225      0.0      0.0      0.0075      0.0073      0.0036      0.0127      0.0      0.0036       0.0      0.0      0.7836      0.1891
45             0.1991        0.1574          0.4071           0.0204      0.5223        0.0512      0.1766      0.2295      1.0             0.7967      0.0244      0.0      0.0      0.0163      0.0325      0.0407      0.0407       0.0488      0.9646      0.0      0.0094      0.0       0.0      0.0189      0.0      0.0      0.0071      0.0073      0.0036      0.0127      0.0      0.0036       0.0      0.0      0.7913      0.1815
46             0.2057        0.1624          0.4191           0.0196      0.5269        0.0512      0.1799      0.2224      1.0             0.7886      0.0      0.0      0.0      0.0325      0.0407      0.065      0.0244       0.0488      0.9653      0.0      0.0093      0.0       0.0      0.0185      0.0      0.0      0.0069      0.0075      0.0037      0.0131      0.0      0.0037       0.0      0.0      0.8146      0.1573
47             0.2028        0.1558          0.4047           0.0221      0.5094        0.0504      0.1962      0.222      1.0             0.7603      0.0      0.0      0.0      0.0165      0.0331      0.0661      0.0579       0.0661      0.9682      0.0      0.0085      0.0       0.0      0.017      0.0      0.0      0.0064      0.0075      0.0038      0.0131      0.0      0.0038       0.0      0.0      0.8499      0.122
48             0.2066        0.1616          0.4195           0.0217      0.5031        0.0504      0.1999      0.2249      1.0             0.7769      0.0      0.0      0.0      0.0331      0.0331      0.0496      0.0413       0.0661      0.9667      0.0      0.0083      0.0       0.0      0.0187      0.0      0.0      0.0063      0.0074      0.0037      0.013      0.0      0.0037       0.0      0.0      0.8574      0.1148
49             0.2057        0.1608          0.4248           0.0208      0.494        0.0462      0.2057      0.2332      1.0             0.7568      0.0      0.0      0.0      0.036      0.036      0.0541      0.045       0.0721      0.9717      0.0      0.0121      0.0       0.0      0.0101      0.0      0.0      0.0061      0.0071      0.0036      0.0125      0.0      0.0036       0.0      0.0      0.8679      0.1054
50             0.2112        0.1637          0.4348           0.0225      0.4931        0.0446      0.2137      0.2262      1.0             0.729      0.0      0.0      0.0      0.0187      0.0374      0.0748      0.0654       0.0748      0.9649      0.0      0.0156      0.0       0.0      0.0136      0.0      0.0      0.0058      0.0074      0.0037      0.0129      0.0      0.0037       0.0      0.0      0.8785      0.0939
51             0.2078        0.1595          0.4391           0.0229      0.4794        0.0437      0.2157      0.2382      1.0             0.7048      0.0      0.0      0.0      0.0381      0.0476      0.0667      0.0667       0.0762      0.9691      0.0      0.0135      0.0       0.0      0.0116      0.0      0.0      0.0058      0.007      0.0035      0.0122      0.0      0.0035       0.0      0.0      0.8881      0.0857
52             0.212        0.1678          0.4431           0.0212      0.4677        0.0379      0.2257      0.2474      1.0             0.7033      0.0      0.0      0.0      0.044      0.0549      0.044      0.0769       0.0769      0.9742      0.0      0.0111      0.0       0.0      0.0092      0.0      0.0      0.0055      0.0067      0.0034      0.0118      0.0      0.0034       0.0      0.0      0.8973      0.0774
53             0.2062        0.1653          0.44           0.02      0.4652        0.0312      0.2282      0.2553      1.0             0.6533      0.0      0.0      0.0      0.04      0.0667      0.04      0.0933       0.1067      0.9799      0.0      0.0091      0.0       0.0      0.0055      0.0      0.0      0.0055      0.0049      0.0033      0.0114      0.0      0.0033       0.0      0.0      0.8907      0.0865
54             0.2137        0.1703          0.4537           0.0221      0.4515        0.0292      0.2362      0.2611      1.0             0.6857      0.0      0.0      0.0      0.0286      0.0714      0.0143      0.0857       0.1143      0.9824      0.0      0.0088      0.0       0.0      0.0035      0.0      0.0      0.0053      0.0048      0.0032      0.0112      0.0      0.0032       0.0      0.0      0.8995      0.0781
55             0.2137        0.1724          0.4649           0.0217      0.4357        0.025      0.247      0.2707      1.0             0.65      0.0      0.0      0.0      0.05      0.0667      0.0      0.1       0.1333      0.9831      0.0      0.0084      0.0       0.0      0.0034      0.0      0.0      0.0051      0.0062      0.0031      0.0108      0.0      0.0031       0.0      0.0      0.8877      0.0892
56             0.2116        0.1708          0.4571           0.0229      0.4294        0.0262      0.2486      0.2728      1.0             0.6667      0.0      0.0      0.0      0.0635      0.0635      0.0      0.0952       0.1111      0.9832      0.0      0.0084      0.0       0.0      0.0034      0.0      0.0      0.005      0.0061      0.0031      0.0107      0.0      0.0031       0.0      0.0      0.8855      0.0916
57             0.2153        0.1728          0.4697           0.0233      0.4227        0.0233      0.2545      0.2761      1.0             0.625      0.0      0.0      0.0      0.0714      0.0893      0.0      0.1071       0.1071      0.9836      0.0      0.0082      0.0       0.0      0.0033      0.0      0.0      0.0049      0.006      0.003      0.0106      0.0      0.003       0.0      0.0      0.8959      0.0814
58             0.2141        0.1741          0.4772           0.0225      0.4182        0.025      0.2649      0.2695      1.0             0.65      0.0      0.0      0.0      0.0667      0.0833      0.0      0.1       0.1      0.9843      0.0      0.0079      0.0       0.0      0.0031      0.0      0.0      0.0047      0.0062      0.0031      0.0108      0.0      0.0031       0.0      0.0      0.9042      0.0726
59             0.2137        0.1703          0.4696           0.0212      0.4057        0.0267      0.2724      0.2741      1.0             0.625      0.0      0.0      0.0      0.125      0.0625      0.0      0.0938       0.0938      0.9847      0.0      0.0076      0.0       0.0      0.0031      0.0      0.0      0.0046      0.0061      0.003      0.0106      0.0      0.003       0.0      0.0      0.9088      0.0684
