#num_of_iter: 100
#num_of_exper: 11
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 7860987380687698761
#iter         f_C          f_C_corr        av_sum      f_allC      f_allD        f_kD        f_kC        f_kDC       f_strat_ch      f_0D        f_1D        f_2D        f_3D        f_4D        f_5D        f_6D        f_7D        f_8D        f_0C        f_1C        f_2C        f_3C        f_4C        f_5C        f_6C        f_7C        f_8C        f_0DC       f_1DC       f_2DC       f_3DC       f_4DC        f_5DC       f_6DC       f_7DC       f_8DC
70             0.2262        0.187          0.5175           0.0204      0.299        0.0146      0.3461      0.3199      1.0             0.3143      0.0      0.0      0.0      0.2286      0.1143      0.0      0.1714       0.1714      0.988      0.0      0.006      0.0       0.0      0.0024      0.0      0.0      0.0036      0.0026      0.0026      0.0091      0.0      0.0026       0.0      0.0      0.9401      0.043
71             0.2282        0.1878          0.5092           0.0225      0.2957        0.0167      0.3444      0.3207      1.0             0.25      0.0      0.0      0.0      0.35      0.1      0.0      0.15       0.15      0.9867      0.0      0.0073      0.0       0.0      0.0024      0.0      0.0      0.0036      0.0026      0.0026      0.0091      0.0      0.0026       0.0      0.0      0.9442      0.039
72             0.2241        0.1841          0.5162           0.0204      0.2895        0.0154      0.3478      0.3269      1.0             0.2432      0.0      0.0      0.0      0.2973      0.1351      0.0      0.1622       0.1622      0.988      0.0      0.006      0.0       0.0      0.0024      0.0      0.0      0.0036      0.0025      0.0025      0.0089      0.0      0.0025       0.0      0.0      0.9401      0.0433
73             0.2228        0.1878          0.5179           0.0196      0.2949        0.0117      0.3482      0.3257      1.0             0.0714      0.0      0.0      0.0      0.3571      0.1429      0.0      0.2143       0.2143      0.988      0.0      0.006      0.0       0.0      0.0024      0.0      0.0      0.0036      0.0026      0.0026      0.009      0.0      0.0026       0.0      0.0      0.9476      0.0358
74             0.2257        0.1908          0.5265           0.0204      0.292        0.0112      0.3478      0.3286      1.0             0.1111      0.0      0.0      0.0      0.2963      0.1481      0.0      0.2222       0.2222      0.988      0.0      0.006      0.0       0.0      0.0024      0.0      0.0      0.0036      0.0025      0.0025      0.0089      0.0      0.0025       0.0      0.0      0.948      0.0355
75             0.2199        0.1849          0.5201           0.0183      0.2915        0.0121      0.3469      0.3311      1.0             0.069      0.0      0.0      0.0      0.3793      0.1379      0.0      0.2069       0.2069      0.988      0.0      0.006      0.0       0.0      0.0024      0.0      0.0      0.0036      0.0025      0.0025      0.0088      0.0      0.0025       0.0      0.0      0.9509      0.0327
76             0.2224        0.1853          0.5193           0.02      0.2807        0.01      0.3553      0.334      1.0             0.0      0.0      0.0      0.0      0.3333      0.1667      0.0      0.25       0.25      0.9883      0.0      0.0059      0.0       0.0      0.0023      0.0      0.0      0.0035      0.0025      0.0025      0.0087      0.0      0.0025       0.0      0.0      0.9526      0.0312
77             0.2282        0.1924          0.5392           0.0187      0.2691        0.0104      0.3628      0.339      1.0             0.0      0.0      0.0      0.0      0.36      0.16      0.0      0.24       0.24      0.9885      0.0      0.0057      0.0       0.0      0.0023      0.0      0.0      0.0034      0.0025      0.0025      0.0086      0.0      0.0025       0.0      0.0      0.9533      0.0307
78             0.2253        0.1912          0.5253           0.0187      0.2632        0.0108      0.3682      0.339      1.0             0.0      0.0      0.0      0.0      0.3846      0.1538      0.0      0.2308       0.2308      0.9887      0.0      0.0057      0.0       0.0      0.0023      0.0      0.0      0.0034      0.0025      0.0025      0.0086      0.0      0.0025       0.0      0.0      0.9509      0.0332
79             0.2245        0.1895          0.5284           0.0192      0.2632        0.0104      0.3669      0.3403      1.0             0.0      0.0      0.0      0.0      0.36      0.16      0.0      0.24       0.24      0.9886      0.0      0.0057      0.0       0.0      0.0023      0.0      0.0      0.0034      0.0024      0.0024      0.0086      0.0      0.0024       0.0      0.0      0.9547      0.0294
80             0.2262        0.192          0.535           0.0187      0.2566        0.0092      0.3723      0.3432      1.0             0.0      0.0      0.0      0.0      0.2727      0.1818      0.0      0.2727       0.2727      0.9888      0.0      0.0056      0.0       0.0      0.0022      0.0      0.0      0.0034      0.0024      0.0024      0.0085      0.0      0.0024       0.0      0.0      0.96      0.0243
81             0.2241        0.1887          0.5293           0.0183      0.2524        0.0108      0.3728      0.3457      1.0             0.0      0.0      0.0      0.0      0.3846      0.1538      0.0      0.2308       0.2308      0.9888      0.0      0.0056      0.0       0.0      0.0022      0.0      0.0      0.0034      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9578      0.0265
82             0.2262        0.1899          0.532           0.0179      0.2407        0.0096      0.3828      0.349      1.0             0.0      0.0      0.0      0.0      0.3043      0.1739      0.0      0.2609       0.2609      0.9891      0.0      0.0054      0.0       0.0      0.0022      0.0      0.0      0.0033      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.957      0.0274
83             0.2257        0.192          0.5385           0.0183      0.2411        0.0096      0.3815      0.3494      1.0             0.0      0.0      0.0      0.0      0.3043      0.1739      0.0      0.2609       0.2609      0.9891      0.0      0.0055      0.0       0.0      0.0022      0.0      0.0      0.0033      0.0024      0.0024      0.0083      0.0      0.0024       0.0      0.0      0.9571      0.0274
84             0.2266        0.1928          0.5381           0.0179      0.2391        0.01      0.384      0.349      1.0             0.0      0.0      0.0      0.0      0.3333      0.1667      0.0      0.25       0.25      0.9892      0.0      0.0054      0.0       0.0      0.0022      0.0      0.0      0.0033      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9666      0.0179
85             0.2266        0.1928          0.5396           0.0175      0.2387        0.0121      0.3828      0.349      1.0             0.0      0.0      0.0      0.0      0.5172      0.069      0.0      0.2069       0.2069      0.9891      0.0      0.0054      0.0       0.0      0.0022      0.0      0.0      0.0033      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9654      0.0191
86             0.2303        0.1966          0.5458           0.0171      0.2366        0.0112      0.3869      0.3482      1.0             0.0      0.0      0.0      0.0      0.4074      0.1481      0.0      0.2222       0.2222      0.9892      0.0      0.0054      0.0       0.0      0.0022      0.0      0.0      0.0032      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9701      0.0144
87             0.2266        0.1953          0.545           0.0183      0.2345        0.0092      0.3898      0.3482      1.0             0.0      0.0      0.0      0.0      0.2273      0.2273      0.0      0.2727       0.2727      0.9893      0.0      0.0053      0.0       0.0      0.0021      0.0      0.0      0.0032      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9725      0.012
88             0.2274        0.1941          0.5441           0.0179      0.2295        0.0092      0.3919      0.3515      1.0             0.0      0.0      0.0      0.0      0.2727      0.1818      0.0      0.2727       0.2727      0.9894      0.0      0.0053      0.0       0.0      0.0021      0.0      0.0      0.0032      0.0024      0.0024      0.0083      0.0      0.0024       0.0      0.0      0.9704      0.0142
89             0.2278        0.1949          0.5493           0.0192      0.2249        0.0092      0.3973      0.3494      1.0             0.0      0.0      0.0      0.0      0.1364      0.3182      0.0      0.2727       0.2727      0.9895      0.0      0.0052      0.0       0.0      0.0021      0.0      0.0      0.0031      0.0024      0.0024      0.0083      0.0      0.0024       0.0      0.0      0.9714      0.0131
90             0.2303        0.1958          0.5604           0.0187      0.222        0.0096      0.4007      0.349      1.0             0.0      0.0      0.0      0.0      0.1739      0.3043      0.0      0.2609       0.2609      0.9896      0.0      0.0052      0.0       0.0      0.0021      0.0      0.0      0.0031      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9714      0.0131
91             0.2299        0.1953          0.5535           0.0192      0.2207        0.0075      0.4019      0.3507      1.0             0.0      0.0      0.0      0.0      0.0      0.3333      0.0      0.3333       0.3333      0.9896      0.0      0.0052      0.0       0.0      0.0021      0.0      0.0      0.0031      0.0024      0.0024      0.0083      0.0      0.0024       0.0      0.0      0.9727      0.0119
92             0.2282        0.1953          0.5509           0.0192      0.2166        0.0083      0.4069      0.349      1.0             0.0      0.0      0.0      0.0      0.0      0.4      0.0      0.3       0.3      0.9898      0.0      0.0051      0.0       0.0      0.002      0.0      0.0      0.0031      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9773      0.0072
93             0.2282        0.1949          0.5551           0.0187      0.2107        0.0075      0.4127      0.3503      1.0             0.0      0.0      0.0      0.0      0.0      0.3333      0.0      0.3333       0.3333      0.9899      0.0      0.005      0.0       0.0      0.002      0.0      0.0      0.003      0.0024      0.0024      0.0083      0.0      0.0024       0.0      0.0      0.975      0.0095
94             0.2295        0.1978          0.5575           0.0187      0.2124        0.0071      0.4127      0.349      1.0             0.0      0.0      0.0      0.0      0.0      0.2941      0.0      0.3529       0.3529      0.9899      0.0      0.005      0.0       0.0      0.002      0.0      0.0      0.003      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9797      0.0048
95             0.2324        0.1987          0.5614           0.02      0.2124        0.0079      0.4132      0.3465      1.0             0.0      0.0      0.0      0.0      0.0      0.3684      0.0      0.3158       0.3158      0.9899      0.0      0.005      0.0       0.0      0.002      0.0      0.0      0.003      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9844      0.0
96             0.2345        0.1991          0.5629           0.0196      0.2091        0.0087      0.4152      0.3474      1.0             0.0      0.0      0.0      0.0      0.0      0.4286      0.0      0.2857       0.2857      0.99      0.0      0.005      0.0       0.0      0.002      0.0      0.0      0.003      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9844      0.0
97             0.2324        0.1991          0.5615           0.0183      0.2124        0.0092      0.4123      0.3478      1.0             0.0      0.0      0.0      0.0      0.0      0.4545      0.0      0.2727       0.2727      0.9899      0.0      0.0051      0.0       0.0      0.002      0.0      0.0      0.003      0.0024      0.0024      0.0084      0.0      0.0024       0.0      0.0      0.9844      0.0
98             0.2316        0.1958          0.5603           0.0187      0.2012        0.0104      0.419      0.3507      1.0             0.0      0.0      0.0      0.0      0.0      0.52      0.0      0.24       0.24      0.9901      0.0      0.005      0.0       0.0      0.002      0.0      0.0      0.003      0.0024      0.0024      0.0083      0.0      0.0024       0.0      0.0      0.9846      0.0
99             0.2316        0.1999          0.5603           0.0171      0.2024        0.0083      0.4227      0.3494      1.0             0.0      0.0      0.0      0.0      0.0      0.4      0.0      0.3       0.3      0.9901      0.0      0.0049      0.0       0.0      0.002      0.0      0.0      0.003      0.0024      0.0024      0.0083      0.0      0.0024       0.0      0.0      0.9845      0.0
